Γ = 0.1,Γ = 0.25,Γ = 0.5,Γ = 0.75,Γ = 1.0,Benchmark
1.006799088342546e7,9.998754145214478e6,9.89173430940447e6,9.89173430940447e6,9.89173430940447e6,1.0058950422521535e7
1.0058985511173313e7,1.0093342539577566e7,9.705131834174298e6,9.705131834174298e6,9.705131834174298e6,1.0096010672997693e7
9.975900130493574e6,9.927993413181907e6,0.0,0.0,0.0,9.91547181453463e6
9.910145401095351e6,9.788524062999595e6,0.0,0.0,0.0,9.793332955757488e6
9.915963349436717e6,9.67455695808392e6,0.0,0.0,0.0,9.693861948787268e6
1.001863189351566e7,9.640590072430737e6,0.0,0.0,0.0,9.741561995189566e6
1.0284631686162824e7,9.655385964117026e6,0.0,0.0,0.0,9.78560574784749e6
9.578190045322761e6,7.317577565073723e6,0.0,0.0,0.0,9.626738661408985e6
9.517269664164728e6,7.200537682071198e6,0.0,0.0,0.0,9.702278251411658e6
9.52057880393336e6,7.208697854010382e6,0.0,0.0,0.0,9.74012386630617e6
8.84046979708154e6,6.966924347226534e6,0.0,0.0,0.0,9.65587783942568e6
8.640431175483251e6,0.0,0.0,0.0,0.0,9.663877785921752e6
8.528552107011572e6,0.0,0.0,0.0,0.0,9.64604553990136e6
8.061049088047444e6,0.0,0.0,0.0,0.0,9.632770097917806e6
7.719415096051604e6,0.0,0.0,0.0,0.0,9.542189465075744e6
7.689281355231699e6,0.0,0.0,0.0,0.0,9.522036191106994e6
6.6483691830814e6,0.0,0.0,0.0,0.0,9.522299997683372e6
5.63925593927117e6,0.0,0.0,0.0,0.0,9.471120071164021e6
0.0,0.0,0.0,0.0,0.0,9.456542313477548e6
0.0,0.0,0.0,0.0,0.0,9.673479890887408e6
0.0,0.0,0.0,0.0,0.0,9.631318513063688e6
0.0,0.0,0.0,0.0,0.0,9.7152928623837e6
0.0,0.0,0.0,0.0,0.0,9.599052110570364e6
0.0,0.0,0.0,0.0,0.0,9.64818141854329e6
0.0,0.0,0.0,0.0,0.0,9.730328427380871e6
0.0,0.0,0.0,0.0,0.0,9.513876926147483e6
0.0,0.0,0.0,0.0,0.0,9.325498252201933e6
0.0,0.0,0.0,0.0,0.0,9.26740209700634e6
0.0,0.0,0.0,0.0,0.0,9.342954929857349e6
0.0,0.0,0.0,0.0,0.0,9.640913532923166e6
0.0,0.0,0.0,0.0,0.0,9.725156037868919e6
0.0,0.0,0.0,0.0,0.0,9.625458049798366e6
0.0,0.0,0.0,0.0,0.0,9.576632463096092e6
0.0,0.0,0.0,0.0,0.0,9.777880974735498e6
0.0,0.0,0.0,0.0,0.0,9.965973969073363e6
0.0,0.0,0.0,0.0,0.0,1.0170524425969929e7
0.0,0.0,0.0,0.0,0.0,1.0016136801939595e7
0.0,0.0,0.0,0.0,0.0,9.838773041015258e6
0.0,0.0,0.0,0.0,0.0,9.70350183562313e6
0.0,0.0,0.0,0.0,0.0,9.552629398250468e6
0.0,0.0,0.0,0.0,0.0,9.480929184084455e6
0.0,0.0,0.0,0.0,0.0,9.49165048729129e6
0.0,0.0,0.0,0.0,0.0,9.413403561031958e6
0.0,0.0,0.0,0.0,0.0,9.48157763339717e6
0.0,0.0,0.0,0.0,0.0,9.524951888810638e6
0.0,0.0,0.0,0.0,0.0,9.404979703057662e6
0.0,0.0,0.0,0.0,0.0,9.328459231348507e6
0.0,0.0,0.0,0.0,0.0,9.385792072486728e6
0.0,0.0,0.0,0.0,0.0,9.383234456894856e6
0.0,0.0,0.0,0.0,0.0,0.0
